algorithm,caseId,family,method,status,objectiveKind,objectivePrimary,objectiveSecondary,verification,totalSec,B,b,numAP,positiveTraceCount,negativeTraceCount,finalFormulaSize,binaryNodeCount,unaryNodeCount,unaryDepth,dagNodeCount,hasSharing,positiveTracePassed,negativeTracePassed,constraintAutomatonPassed,identityConstraintsPassed,vars,backendTotalClauses,peakRssKb,error
ATLAS-B,tiny_01492,required,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.8151235810000799,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,7732,24239,105372,
MacroATLAS,tiny_01492,required,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.6648543969999992,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,1214,2267,88904,
Oracle,tiny_01493,no_dag_reuse,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.1639998900000137,3,0,1,1,1,,,,,,,,,,,,,44776,
ATLAS-B,tiny_01493,no_dag_reuse,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7147955710001952,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,2974,8119,98480,
MacroATLAS,tiny_01493,no_dag_reuse,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7149345550001271,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,1420,2690,96032,
Oracle,tiny_01494,global_prop,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.2139656549998108,3,0,1,1,1,,,,,,,,,,,,,44936,
ATLAS-B,tiny_01494,global_prop,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7148825430003853,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,2137,5409,97224,
MacroATLAS,tiny_01494,global_prop,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.8156380540003738,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,2405,5126,111932,
Oracle,tiny_01495,repair,oracle,UNSAT,REPAIR,0,0,REFERENCE_EXHAUSTIVE,0.214150059000076,2,0,1,2,1,,,,,,,,,,,,,45304,
ATLAS-B,tiny_01495,repair,atlas-b,UNSAT,REPAIR,0,0,NOT_APPLICABLE_UNSAT,0.8651009960003648,2,0,1,2,1,,,,,,,,,,,4859,14265,122396,
MacroATLAS,tiny_01495,repair,macro,UNSAT,REPAIR,0,0,NOT_APPLICABLE_UNSAT,0.9151334920002228,2,0,1,2,1,,0,,,,,,,,,1378,2362,121336,
Oracle,tiny_01496,plain,oracle,SAT,MIN_EXPANDED_SIZE,0,3,REFERENCE_EXHAUSTIVE,0.2140101259997209,3,1,2,1,2,,,,,,,,,,,,,46584,
ATLAS-B,tiny_01496,plain,atlas-b,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.8650501850002001,3,1,2,1,2,3,1,0,0,3,False,True,True,True,True,12706,40526,113376,
MacroATLAS,tiny_01496,plain,macro,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.7649016489999667,3,1,2,1,2,3,1,0,0,3,False,True,True,True,True,2616,5312,105208,
Oracle,tiny_01497,nnf,oracle,SAT,MIN_EXPANDED_SIZE,0,3,REFERENCE_EXHAUSTIVE,0.21415913999999248,3,1,2,1,2,,,,,,,,,,,,,46712,
ATLAS-B,tiny_01497,nnf,atlas-b,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.8151330620003137,3,1,2,1,2,3,1,0,0,3,False,True,True,True,True,9631,29938,108428,
MacroATLAS,tiny_01497,nnf,macro,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,0.8650965150000047,3,1,2,1,2,3,1,0,0,3,False,True,True,True,True,4466,10083,118020,
Oracle,tiny_01498,cnf,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.2140922580001643,3,0,1,1,1,,,,,,,,,,,,,44796,
ATLAS-B,tiny_01498,cnf,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7150551580002684,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,2976,8127,98304,
MacroATLAS,tiny_01498,cnf,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.8649505019998287,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,3025,6690,120796,
