task,family,category,algorithm,B,b,status,objectiveKind,objectivePrimary,objectiveSecondary,verification,totalSec,bothDecisive,pairStatusAgreement,pairObjectiveAgreement
moreDetailedTest/0042.trace,moreDetailedTest,unconstrained,ATLAS-B,18,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.15739979699993,False,,
moreDetailedTest/0042.trace,moreDetailedTest,unconstrained,MacroATLAS,18,2,SAT,MIN_EXPANDED_SIZE,0,6,PASSED,81.58899413699874,False,,
moreDetailedTest/0043.trace,moreDetailedTest,unconstrained,ATLAS-B,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,4.951352365000275,True,True,True
moreDetailedTest/0043.trace,moreDetailedTest,unconstrained,MacroATLAS,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,3.211758313998871,True,True,True
moreDetailedTest/0044.trace,moreDetailedTest,unconstrained,ATLAS-B,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,1.4248695520000183,True,True,True
moreDetailedTest/0044.trace,moreDetailedTest,unconstrained,MacroATLAS,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,1.4176852679993317,True,True,True
moreDetailedTest/0045.trace,moreDetailedTest,unconstrained,ATLAS-B,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,5.737302951998572,True,True,True
moreDetailedTest/0045.trace,moreDetailedTest,unconstrained,MacroATLAS,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,3.5932824639985483,True,True,True
moreDetailedTest/0046.trace,moreDetailedTest,unconstrained,ATLAS-B,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,7.686740773000565,True,True,True
moreDetailedTest/0046.trace,moreDetailedTest,unconstrained,MacroATLAS,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,4.220537712000805,True,True,True
moreDetailedTest/0047.trace,moreDetailedTest,unconstrained,ATLAS-B,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,8.234623980999913,True,True,True
moreDetailedTest/0047.trace,moreDetailedTest,unconstrained,MacroATLAS,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,4.5373048769997695,True,True,True
moreDetailedTest/0048.trace,moreDetailedTest,unconstrained,ATLAS-B,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,10.14980880200028,True,True,True
moreDetailedTest/0048.trace,moreDetailedTest,unconstrained,MacroATLAS,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,5.156793860999642,True,True,True
moreDetailedTest/0049.trace,moreDetailedTest,unconstrained,ATLAS-B,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,12.670713756000623,True,True,True
moreDetailedTest/0049.trace,moreDetailedTest,unconstrained,MacroATLAS,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,5.603852098000061,True,True,True
moreDetailedTest/0050.trace,moreDetailedTest,unconstrained,ATLAS-B,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,14.213867331000074,True,True,True
moreDetailedTest/0050.trace,moreDetailedTest,unconstrained,MacroATLAS,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,5.892293935999987,True,True,True
moreDetailedTest/0051.trace,moreDetailedTest,unconstrained,ATLAS-B,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,16.030356436000147,True,True,True
moreDetailedTest/0051.trace,moreDetailedTest,unconstrained,MacroATLAS,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,7.003900158000761,True,True,True
moreDetailedTest/0052.trace,moreDetailedTest,unconstrained,ATLAS-B,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,18.574458581000727,True,True,True
moreDetailedTest/0052.trace,moreDetailedTest,unconstrained,MacroATLAS,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,7.3673960539999825,True,True,True
moreDetailedTest/0053.trace,moreDetailedTest,unconstrained,ATLAS-B,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,23.340150916999846,True,True,True
moreDetailedTest/0053.trace,moreDetailedTest,unconstrained,MacroATLAS,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,8.409911963999548,True,True,True
moreDetailedTest/0054.trace,moreDetailedTest,unconstrained,ATLAS-B,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,3.265627112999937,True,True,True
moreDetailedTest/0054.trace,moreDetailedTest,unconstrained,MacroATLAS,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,4.739675524000631,True,True,True
moreDetailedTest/0055.trace,moreDetailedTest,unconstrained,ATLAS-B,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,1.1857025900008011,True,True,True
moreDetailedTest/0055.trace,moreDetailedTest,unconstrained,MacroATLAS,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,1.1330823719999898,True,True,True
moreDetailedTest/0056.trace,moreDetailedTest,unconstrained,ATLAS-B,3,2,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,3.8843446889995903,True,True,True
