batch,task,B,b,objectiveKind,category,atlasBStatus,macroStatus,atlasBObjectivePrimary,atlasBObjectiveSecondary,macroObjectivePrimary,macroObjectiveSecondary,atlasBWallSec,macroWallSec,atlasBVerification,macroVerification
b2,5to10Traces/0061.trace,18,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.46781865699995,180.37977592300012,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0062.trace,18,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.3149293890001,180.2597190900001,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0063.trace,18,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.5750721689983,180.31694080599982,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0064.trace,18,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.30701945200053,180.27381448300002,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0065.trace,18,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.5250343429998,180.35552543499944,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0066.trace,18,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,1.6545555960001366,1.2506315919999906,PASSED,PASSED
b2,5to10Traces/0068.trace,18,2,MIN_EXPANDED_SIZE,macro_only,TIMEOUT,SAT,,,0,7,180.08142386100008,53.55928005800024,IN_PROGRESS,PASSED
b2,5to10Traces/0069.trace,18,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,2,0,2,6.490260601000045,1.8504339350000691,PASSED,PASSED
b2,5to10Traces/0070.trace,18,2,MIN_EXPANDED_SIZE,macro_only,TIMEOUT,SAT,,,0,7,180.11717449000025,117.24768112600032,IN_PROGRESS,PASSED
b2,5to10Traces/0071.trace,18,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,5,0,5,81.19796074199985,35.976796984999964,PASSED,PASSED
b2,5to10Traces/0072.trace,18,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,0,7,180.1350613069999,180.08732566599974,IN_PROGRESS,PASSED
b2,5to10Traces/0073.trace,18,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,5,0,5,106.26332112799992,88.3137777070001,PASSED,PASSED
b2,5to10Traces/0074.trace,18,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.18140305999987,180.19580395899993,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0075.trace,18,2,MIN_EXPANDED_SIZE,both,SAT,SAT,0,5,0,5,67.80401813599929,111.57244979900133,PASSED,PASSED
b2,5to10Traces/0076.trace,18,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.23439923200021,180.22833939299971,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0077.trace,18,2,MIN_EXPANDED_SIZE,macro_only,TIMEOUT,SAT,,,0,5,180.29908704299987,170.30190697500075,IN_PROGRESS,PASSED
b2,5to10Traces/0078.trace,18,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.25830147800116,180.219513494,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0079.trace,18,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.3816780800007,180.28903073500078,IN_PROGRESS,IN_PROGRESS
b2,5to10Traces/0080.trace,18,2,MIN_EXPANDED_SIZE,neither,TIMEOUT,TIMEOUT,,,,,180.29924556200058,180.30543912400026,IN_PROGRESS,IN_PROGRESS
