campaign,batch,task,family,category,B,b,p,K,qStates,objectiveKind,constraintFeatures,scope,inputSha256,numAP,positiveTraces,negativeTraces,e4AtlasStatus,e4MacroStatus,activeAnchors,e4MacroExpandedSize,B_over_K,activeAnchors_over_expandedSize,atlasStatus,macroStatus,pairedTranslated,atlasVars,macroVars,atlasClauses,macroClauses,C_V,C_C,atlasWallSec,macroWallSec,atlasModelSha256,macroModelSha256
remaining423,b2,5to10Traces/0032.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,57dd97edf5cc3c106dcad445c7ae0dbdcaa578bc4fc72302ed1652e13a51bc64,3,125,125,TIMEOUT,TIMEOUT,,,1.25,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,982256,1362833,3146475,2771597,0.7207456819727729,1.1352570377295113,5.335530500999994,10.041621504999966,bcb44931beddbb23b51f47b65a939bf32fbacf0fc066e07dfde3330a0455851f,49709280db5de6f8827d4c777ee12b074e941aef695d04cdeae07a38fd258b34
remaining423,b2,5to10Traces/0033.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,7,ee7ed51fee44ba93cdbb31b9b14ad02bb32f3de11c0469756dc702c50db80225,3,125,125,TIMEOUT,TIMEOUT,,,1.25,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,5891745,4329584,20193065,10252557,1.3608108769803289,1.9695637878433643,31.921703626999715,30.1697928589997,04e4fafbb5a8e11dc529f282b46da3981c621dcaeb655c1db649b824becd86d7,640177344483a0247849bda7a4ec02949524bd99eef68e3eb8673365cae1a1db
frozen200,b2,5to10Traces/0034.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,5359af3606015c7bc80e09ecb994c0944124012d2a334ddb061df8ee7e0ee7e9,3,150,150,TIMEOUT,TIMEOUT,,,1.25,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,1178106,1637224,3774000,3334109,0.7195753299487425,1.1319365983535632,7.839998834999278,11.046614390999821,25d5f080b6de96e5b2ad14b83a7c39b0e1e159b386d19cb2f1f20c8da31c1a62,4c2bf0e35a91a4d179317f4df5204231c0fd3e1e9fa195d0bbfa6c8018eb8844
remaining423,b2,5to10Traces/0035.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,7,c426873f1d6100da2ac5121d8557a0015b1beb10f5c91e225ec81118451b884b,3,150,150,TIMEOUT,TIMEOUT,,,1.25,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,7068795,5246140,24227540,12449649,1.3474278231232868,1.946042012911368,41.3899513059996,35.68339400599962,46d812892b09d55de19cced0ff52b9e533b0cef5910ba9ec1cb5f8908942e9e8,0135c80d0dcee4114551616adee4a027c8b3ef0ff4f3cb2991359e6e15840c9e
remaining423,b2,5to10Traces/0036.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,9,b1e2aae2986a43365166a93f9337049f72a8d732496765ee22e195921efbf547,3,175,175,TIMEOUT,TIMEOUT,,,1.25,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,3085282,3243806,10191011,6877915,0.951130246383415,1.4817006316594492,15.248588427999948,23.459188682000104,237db4653f74d318e9a9a47e691af7ba3de8ac4810fef0919e37fb5aeedf4915,ff02d325f8a1015f278b045c540e304c46b17fc552ae4a5366c93b8a8908f7ec
remaining423,b2,5to10Traces/0037.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,9,706cc48d00f6e56c776cb6c6f15b2e4616903816e710c5c243f51d0099d07091,3,175,175,TIMEOUT,TIMEOUT,,,1.25,,TRANSLATION_TIMEOUT,TRANSLATED_ONLY,False,,7749861,,18520263,,,180.79910944699986,55.955721477000225,6e7dd8362b15eb697311c4e67fe52ed07285d858e84822596c5284bb6dcbca18,85804aff745b65ab823fbd721ba5d3555d0f1a3af3573724eae7ccdb83cd6c0e
remaining423,b2,5to10Traces/0038.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,d411a5a489be3c4f9746e0d02df6458494aa8173562852ada225c09ea49dfee5,3,200,200,TIMEOUT,TIMEOUT,,,1.25,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,1569805,2180845,5029049,4437933,0.719815025827145,1.1331962424849586,9.540606390999983,18.1524758810001,6167be1f13271aeb74c5100cb1df3d2f5f098cc2efb8c3f367bb2100d06336e1,eb306c58599e6e4970c3e7d973fa1b02a9115e3647b08f4415e32b69b0d6f731
remaining423,b2,5to10Traces/0039.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,9,aa9847bdb52c00f1c8ddb561e4735990d45a46974fadc08b61b61d3bbf22efa1,3,200,200,TIMEOUT,TIMEOUT,,,1.25,,TRANSLATION_TIMEOUT,TRANSLATED_ONLY,False,,8844314,,21118770,,,180.79304015800017,69.87301390699986,325707381bc19ad0dda769145c1dd0a33054d0200e781ce4abc69ffa43174596,13f7c330654c4b9c967caa72d32b390f2a4a0d027ffeba9155979ccbf3cc10ef
remaining423,b2,5to10Traces/0040.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,9,44f5cbcc1bfb3c796d7ca0e658ddf54d832f3fe4be5a9cdddcbb1e5e8eddf61d,3,225,225,TIMEOUT,TIMEOUT,,,1.25,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,3963782,4138916,13092861,8765256,0.9576860221371972,1.4937226020552052,19.80830232299968,29.067327461000332,db1e57fbd93c7e7cf56f5340b67a9945ae7d167d664b4f62c81847e0f68e636a,a477225eebd16177ab37dae99dee4fe854ab9ea220c9480c91bc67f8b83b8068
remaining423,b2,5to10Traces/0041.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,19adba18fde82da20adba26fd41cc7576324db55d448cd26ee2f06aab0e4e69a,3,225,225,TIMEOUT,TIMEOUT,,,1.25,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,7183656,4576497,24599325,10702692,1.56968441146143,2.298424078727109,42.69533689800005,32.23144213799992,b2e941494472a22eb68668891bd4a0a230c050d074818820b8dfcc20eb9b6c1e,c8d33ff2c05abd9c9e5741026edf6473de10672301d2ffde25f1c8a2dd2e2c87
