batch,task,family,category,B,b,p,K,qStates,objectiveKind,constraintFeatures,scope,inputSha256,numAP,positiveTraces,negativeTraces,method,attempt,backendTotalClauses,emissionSec,error,modelBytes,modelSha256,parseSec,primaryVars,solverInvoked,status,translationSec,vars,wallSec
b2,increasingNumVariables/0027.trace,increasingNumVariables,plain,37,2,0,8,1,MIN_EXPANDED_SIZE,,11,eef1369c346b66bd1122b82261ff2687558f5613d70c776b649a1aacabd58a8d,6,30,30,atlas-b,1,2927953,0.4645725760001369,,24462,f2f5b123703e067556072838a3bb8f5d864ef972d17c343b2eaefe639d108d2e,0.45317835,7289,False,TRANSLATED_ONLY,4.119349669999792,867709,4.584515178999936
b2,increasingNumVariables/0027.trace,increasingNumVariables,plain,37,2,0,8,1,MIN_EXPANDED_SIZE,,11,eef1369c346b66bd1122b82261ff2687558f5613d70c776b649a1aacabd58a8d,6,30,30,macro,1,1296275,0.2642229410002983,,49010,fa66a550a5b2c32f3877f42e4ab8b3d98909f0fa1caef80d585db918a05008ae,0.58889604,11909,False,TRANSLATED_ONLY,5.421144265999828,600095,5.685931761000575
b2,equal/0037.trace,equal,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,8e23125d1a97f16b9aa603e0f88af1d097eac1636d15d041a3b233ac7df17b50,3,10,10,atlas-b,1,259860,0.41432552999958716,,7108,5c14e0d31b8d749627cbfcd45ecb2ec8f13462909a2a56debf5375ae8fa97f26,0.258741388,1479,False,TRANSLATED_ONLY,0.9653900839994094,81346,1.3802385569997568
b2,equal/0037.trace,equal,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,8e23125d1a97f16b9aa603e0f88af1d097eac1636d15d041a3b233ac7df17b50,3,10,10,macro,1,231644,0.21409644100003788,,36217,ffd620e0be1c6ea9aff08dd85fc71c14ada7c02b699e9a331b2d25fed9bc09a6,0.488841321,2861,False,TRANSLATED_ONLY,1.7664462439997806,113665,1.981078036999861
b2,5to10Traces/0084.trace,5to10Traces,plain,18,2,0,8,1,MIN_EXPANDED_SIZE,,15,90b35332457b1de8f31e323bc011ba287b72e2f64855510dfd38861206238f9e,3,225,225,atlas-b,1,30112255,0.5145659580002757,,106690,c69742ce4e458f5f1fb2e9b6107b9ffcddb0af093a274098c1cdbea97f679a54,1.371267169,52539,False,TRANSLATED_ONLY,47.888007679999646,8896899,48.40320690199951
b2,5to10Traces/0084.trace,5to10Traces,plain,18,2,0,8,1,MIN_EXPANDED_SIZE,,15,90b35332457b1de8f31e323bc011ba287b72e2f64855510dfd38861206238f9e,3,225,225,macro,1,8588823,0.3142143630002465,,144521,4d1a5d11959fcc39fb25c2f5c205493e837c712212dd532b3c04ab941091fa2b,2.562617044,72755,False,TRANSLATED_ONLY,28.505315032999533,4052871,28.820210793000115
b2,moreDetailedTest/0004.trace,moreDetailedTest,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,e136448c7c701e599a0b3efdcad78036bb9e505fbf0def50d71a99f2f147e298,3,150,150,atlas-b,1,3774000,0.5144980640006906,,71888,d353a05c83a14afc4bc133bc0ef1410c5dd838bfd1d9ec4b7a758336ee2850c0,0.83035085,19679,False,TRANSLATED_ONLY,7.174045763999857,1178106,7.6891523220001545
b2,moreDetailedTest/0004.trace,moreDetailedTest,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,e136448c7c701e599a0b3efdcad78036bb9e505fbf0def50d71a99f2f147e298,3,150,150,macro,1,3317379,0.2642076449992601,,102460,439039417d20a49443d58dc7f39d9369dee4d4b5541ca945aade61c11677e663,1.956317617,31316,False,TRANSLATED_ONLY,11.779681166000046,1630836,12.044483335000223
b2,baseTest/0041.trace,baseTest,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,7,c3386b7fed1390e9dbbdadbbe614bf374aa59ce6cfa6e0242f58554e530e34e2,3,49,451,atlas-b,1,9983140,0.5146094869996887,,118340,fb7d23a9b60743a410454e5049dc73f56564c473b93b6e23fb7d54207fe6bbcc,1.689035677,37769,False,TRANSLATED_ONLY,17.938969044999794,3061994,18.454198606999853
b2,baseTest/0041.trace,baseTest,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,7,c3386b7fed1390e9dbbdadbbe614bf374aa59ce6cfa6e0242f58554e530e34e2,3,49,451,macro,1,8364214,0.3143139160001738,,159523,3d25994c1e627ce7c31df877b7c199bc0dd04cdba73f4c525accdaf5473a3b15,2.484902341,71352,False,TRANSLATED_ONLY,25.754103265000595,3990454,26.069089676999283
b2,disjunctedExistence/0067.trace,disjunctedExistence,plain,134,2,0,8,1,MIN_EXPANDED_SIZE,,5,91d865176d70910e5658d0568f6799c7fd07c31c47b1eea93804f38bf3e5376c,7,8,400,atlas-b,1,28712583,0.6147165239999595,,299080,2f649cfb05b9ea25ce1eecf0053d24dd9d0241b5731ae8c4d4a241ed5d339a4e,3.422252078,90107,False,TRANSLATED_ONLY,49.03620444800072,8334817,49.65176523199989
b2,disjunctedExistence/0067.trace,disjunctedExistence,plain,134,2,0,8,1,MIN_EXPANDED_SIZE,,5,91d865176d70910e5658d0568f6799c7fd07c31c47b1eea93804f38bf3e5376c,7,8,400,macro,1,10088519,0.6648278309994566,,261431,9ba08ce0e0f9a9e0fbabb4fda48a8ec4ad9bc26d0bc0b17789834de842238d6d,4.573934028,86440,False,TRANSLATED_ONLY,26.55202756700055,4278327,27.217591265999545
b2,equal/0015.trace,equal,plain,18,2,0,8,1,MIN_EXPANDED_SIZE,,9,6a33b18c2367b297b6d09d9e44c594eb9d376ae81f2c1def6e1e3f6b14dd33eb,3,100,100,atlas-b,1,5838235,0.4645676159998402,,48689,3dd8a091a549dfa1d9e6fb1ca5905d747d88c9e0e52799e90a636a5983b07faa,0.725372867,17375,False,TRANSLATED_ONLY,7.875362122000297,1767531,8.34048815999995
b2,equal/0015.trace,equal,plain,18,2,0,8,1,MIN_EXPANDED_SIZE,,9,6a33b18c2367b297b6d09d9e44c594eb9d376ae81f2c1def6e1e3f6b14dd33eb,3,100,100,macro,1,3827707,0.3143658589997358,,97219,8ad04bd045ed2aed9df1c7f33de391c7871e9dd3341d2b3bccd9e38969bcf69d,1.042066369,33095,False,TRANSLATED_ONLY,13.33459080099965,1808046,13.649610724000013
b2,increasingNumVariables/0017.trace,increasingNumVariables,plain,20,2,0,8,1,MIN_EXPANDED_SIZE,,5,259f511901444c8d8fdcc15939dc7c2cbcc4ef75a52afbc2fca95b757b67dfdc,5,20,20,atlas-b,1,608455,0.4143783469999107,,15337,4d19026cf905b619edd826882606dc9b8dde876bacbc25a84fd16d30e1b12bb1,0.372034181,3255,False,TRANSLATED_ONLY,1.51615905700055,187317,1.9310691360005876
b2,increasingNumVariables/0017.trace,increasingNumVariables,plain,20,2,0,8,1,MIN_EXPANDED_SIZE,,5,259f511901444c8d8fdcc15939dc7c2cbcc4ef75a52afbc2fca95b757b67dfdc,5,20,20,macro,1,474591,0.26422330100012914,,40302,78f2ba96adba8644148d8ddd22e824dcfe08ac4d083e04fc61e7bee34c801160,0.522575596,4992,False,TRANSLATED_ONLY,2.767481668999608,231413,3.0323132339999574
b2,disjunctedExistence/0054.trace,disjunctedExistence,plain,134,2,0,8,1,MIN_EXPANDED_SIZE,,11,092edbe817520f3dea1c1708f793a024f854f6785c11b969e7cc80168bfe7282,7,150,150,atlas-b,1,14926643,0.5145875489997707,,125906,1f4bf0ab5a83fc71dcbc70504dbb9f542c12a709b601fce7303ad40fa224c7d3,1.53541797,35261,False,TRANSLATED_ONLY,24.149154432000614,4418567,24.664412326000274
